title,image,link
華義國際宣布取得《妖界黃昏 - 妖怪皇帝與終焉的夜叉姬》代理權 將於 6/1 舉行發表會,https://p2.bahamut.com.tw/S/2KU/67/e0df3b5eb0997eaa31ec3911741pwwr5.PNG,//gnn.gamer.com.tw/detail.php?sn=267579
益智消除遊戲《BT21 POP STAR》宣布將於 7/8 終止服務,https://p2.bahamut.com.tw/S/2KU/76/0dbe426ac787cb5045f20aab7f1pwu85.JPG,//gnn.gamer.com.tw/detail.php?sn=267576
《地獄之刃 2：賽奴雅的傳奇》首發登陸 Game Pass！《星空》大型更新即將推出,https://p2.bahamut.com.tw/S/2KU/11/b629c802bca55427b5092fd31a1px935.JPG,//gnn.gamer.com.tw/detail.php?sn=267622
浪漫實境秀製作遊戲《戀愛滿屋》釋出最新介紹影片 創意總監親自解說,https://p2.bahamut.com.tw/S/2KU/08/21e11c6c566206a77620de2b531px905.JPG,//gnn.gamer.com.tw/detail.php?sn=267620
太空殖民模擬經營遊戲《幻想地球》正式登陸 PS4 / PS5 平台,https://p2.bahamut.com.tw/S/2KU/92/b30cae84f2cf571927d6e662071px305.JPG,//gnn.gamer.com.tw/detail.php?sn=267601
【漫博 24】青文將邀《破曉之歌》ユノイチカ、《伴侶未滿的我們》あらた六花舉辦簽名會,https://p2.bahamut.com.tw/S/2KU/86/4a8e932fcbe21b69487d47a2451pwui5.JPG,//gnn.gamer.com.tw/detail.php?sn=267577
紺野アキラ《庫吉馬唱歌的家》宣布將推出動畫作品,https://p2.bahamut.com.tw/S/2KU/37/f8c9cd86c4ab79ef8717f5fe8d1pwqd5.JPG,//gnn.gamer.com.tw/detail.php?sn=267570
《魔獸世界：經典版》開放限時免費遊玩 揭開玩家活動「2024 黑龍祭」內容與報名資訊,https://p2.bahamut.com.tw/S/2KU/10/332f4eb9c88f99080b67561c391px925.JPG,//gnn.gamer.com.tw/detail.php?sn=267621
《逆水寒》公開第三波宣傳影片 強調投入超過 30 億台幣打造光影美學,https://p2.bahamut.com.tw/S/2KU/08/584aa5cfeed6fe511b7e016c5a1px3g5.JPG,//gnn.gamer.com.tw/detail.php?sn=267604
【模型】MegaHouse Lucrea《女神異聞錄 5 皇家版》THE ROYAL NAVI（佐倉双葉）10 月上市,https://p2.bahamut.com.tw/S/2KU/13/60f7cd5803fb52d82a1fbfa3271px0t5.JPG,//gnn.gamer.com.tw/detail.php?sn=267594
與蘇打綠「一起來玩 Nintendo Switch！」影片公開「大家一起動起來」篇,https://p2.bahamut.com.tw/S/2KU/12/63cc1a0a93a9a72017ca7b2ed61px945.JPG,//gnn.gamer.com.tw/detail.php?sn=267623
《全軍破敵：法老》宣布將更新免費戰役地圖 以全新文明、單位與機制稱霸青銅時代,https://p2.bahamut.com.tw/S/2KU/07/60e160cd4789c452524a1a2dcf1px8z5.JPG,//gnn.gamer.com.tw/detail.php?sn=267619
2024「Lexus 小小遊戲設計師活動」開放限量報名 透過《Roblox》開啟遊戲設計,https://p2.bahamut.com.tw/S/2KU/78/2dac5e7a4144c59228430bb95b1px2m5.JPG,//gnn.gamer.com.tw/detail.php?sn=267618
 Disney+ 星戰影集《侍者》6/5 上線 首度公開獨家幕後訪談,https://p2.bahamut.com.tw/S/2KU/57/a51b9395315f2cf37d248fba251px7l5.JPG,//gnn.gamer.com.tw/detail.php?sn=267616
動畫電影《八戒：決戰未來》開放「新世界」登錄活動 限量電影書卡登場,https://p2.bahamut.com.tw/S/2KU/51/b45bab51fe75db30831bcec2c71px7f5.JPG,//gnn.gamer.com.tw/detail.php?sn=267615
曜越 GR500 賽車模擬器與三螢幕賽車支架今日推出,https://p2.bahamut.com.tw/S/2KU/11/209ed05f6188bdc7bd8a48b95d1px6b5.JPG,//gnn.gamer.com.tw/detail.php?sn=267612
《魔獸世界：地心之戰》Alpha 測試第 4 週 開放土靈開場任務線、礦運深谷 PVP 戰場等,https://p2.bahamut.com.tw/S/2KU/06/4eaf138df040a3a197fce00e701px665.JPG,//gnn.gamer.com.tw/detail.php?sn=267611
《帝國神話》搶先曝光「希臘文明」DLC 高級武器鍛造台及武器原畫,https://p2.bahamut.com.tw/S/2KU/11/415dc965244322a44ddd20caa41pwxz5.JPG,//gnn.gamer.com.tw/detail.php?sn=267609
【模型】GSC 《咒術迴戰》黏土人五條悟、夏油傑高專 Ver. 預定 10 月再販,https://p2.bahamut.com.tw/S/2KU/37/1ead181b6c6eb89d51916a340d1px495.JPG,//gnn.gamer.com.tw/detail.php?sn=267607
《Garena 決勝時刻 Mobile》x《無期迷途》芷渲化身聯名角色「吉田凜 - 銀蛛暗影」支援戰線,https://p2.bahamut.com.tw/S/2KU/58/9661a9d30629124885a604972e1px225.JPG,//gnn.gamer.com.tw/detail.php?sn=267599
漫畫星改編遊戲 IP《傾聽畫語》漫畫邀讀者進入深夜美術館一同解謎,https://p2.bahamut.com.tw/S/2KU/57/1e8a1e326bebfbd003a412b0591px215.PNG,//gnn.gamer.com.tw/detail.php?sn=267598
《泡沫之星》新賽季「FUTURE FUNK」5 月 17 日開跑 三張新地圖登場,https://p2.bahamut.com.tw/S/2KU/20/44b3e8db98472d47669d55bbe51px105.JPG,//gnn.gamer.com.tw/detail.php?sn=267596
恐怖新作《女鬼橋二 釋魂路》上市首日銷售告捷 衝上 Steam 平台新品排行榜第二名,https://p2.bahamut.com.tw/S/2KU/10/45b3a66e2461847896f774d7b01px0q5.JPG,//gnn.gamer.com.tw/detail.php?sn=267592
《GTA 線上模式》進行「坐擁超級遊艇的人生」任務 挑戰海洋取得雙倍 GTA 遊戲幣及經驗值,https://p2.bahamut.com.tw/S/2KU/08/487d90bba9ecc4ea339a012a6e1px0o5.JPG,//gnn.gamer.com.tw/detail.php?sn=267590
【模型】FuRyu TENITOL《名偵探柯南》江戶川柯南 預定 12 月發售,https://p2.bahamut.com.tw/S/2KU/36/df4fd63ad770cba32896b49f531pwyo5.JPG,//gnn.gamer.com.tw/detail.php?sn=267587
動畫《身為魔王的我娶了奴隸精靈為妻》釋出 BD 店鋪特典資訊,https://p2.bahamut.com.tw/S/2KU/35/76748d4e381192060fe33adade1pwyn5.JPG,//gnn.gamer.com.tw/detail.php?sn=267586
【模型】MegaHouse《航海王》P.O.P “WA-MAXIMUM” 百獸海道 超限定復刻版 12 月上市,https://p2.bahamut.com.tw/S/2KU/34/db5f161b60d6be9ca8a085531a1pwym5.JPG,//gnn.gamer.com.tw/detail.php?sn=267585
動畫《敗北女角太多了！》釋出燒鹽檸檬「暗戀視覺圖」與聲優訪談影片,https://p2.bahamut.com.tw/S/2KU/15/fe98e5366a4319c4cd5bf877ad1pwy35.JPG,//gnn.gamer.com.tw/detail.php?sn=267584
《天諭》推出《狐妖小紅娘》聯動資料片「諭見紅線仙」 迷客夏聯名友情道具同時登場,https://p2.bahamut.com.tw/S/2KU/13/34af197d485dcf4ed49d7456d41pwy15.JPG,//gnn.gamer.com.tw/detail.php?sn=267583
《劇場總集篇 孤獨搖滾！ 》釋出 30 秒廣告宣傳影片,https://p2.bahamut.com.tw/S/2KU/12/217b2064323de6516225861ad61pwy05.JPG,//gnn.gamer.com.tw/detail.php?sn=267582
動畫《魔法科高中的劣等生 第三季》釋出片尾曲「recall」MV,https://p2.bahamut.com.tw/S/2KU/10/91fe696b515f972f6360644daa1pwxy5.JPG,//gnn.gamer.com.tw/detail.php?sn=267581
《營火之旅 Fireside》宣布 6 月 5 日發售 探索充滿魔法的寧靜世界,https://p2.bahamut.com.tw/S/2KU/06/c9187e51430abe4b7bcb8371f41pwxu5.JPG,//gnn.gamer.com.tw/detail.php?sn=267580
聲優小原好美 6 月台灣粉絲見面會門票將於 5/18 啟售,https://p2.bahamut.com.tw/S/2KU/60/1bd6b92cb5c378b8e2f0070b1f1pwts5.JPG,//gnn.gamer.com.tw/detail.php?sn=267573
【開箱】XPG GAMMIX S60 PRO PCIe Gen4 x4 M.2 2280 2TB 固態硬碟評測,https://p2.bahamut.com.tw/S/2KU/20/818151e8bfbcd8f2345ccc7a951pwpw5.JPG,//gnn.gamer.com.tw/detail.php?sn=267567
《賽馬娘 Pretty Derby》日版推出愛麗速子新衣裝「Σ Experiment」、伏特加新支援,https://p2.bahamut.com.tw/S/2KU/05/7ababb14ad71f28b62577ff3981pwph5.PNG,//gnn.gamer.com.tw/detail.php?sn=267565
籃球遊戲《BasketPulse》第一屆台灣超級盃結果出爐,https://p2.bahamut.com.tw/S/2KU/23/593b2c7eaa250f5f1f03fe3e381pwpz5.JPG,//gnn.gamer.com.tw/detail.php?sn=267569
《我獨自升級 : ARISE》巴友體驗心得 一步步升級化身最強闇影君主！,https://p2.bahamut.com.tw/S/2KU/04/21405e5da2450e3cf29b40a0071pwpg5.JPG,//gnn.gamer.com.tw/detail.php?sn=267564
《英雄聯盟》2024 MSI 分組賽 PSG 以 2:3 惜敗　LPL 賽區隊伍 BLG 挺進勝部四強,https://p2.bahamut.com.tw/S/2KU/97/e0b1285284ffaab1b59c4f65941pwp95.JPG,//gnn.gamer.com.tw/detail.php?sn=267562
【試玩】以現代校園怪談為題材《女鬼橋二 釋魂路》初期體驗 驚悚要素玩法變化多元,https://p2.bahamut.com.tw/S/2KU/25/10594ed7985b24dc6b89faaeee1pw115.JPG,//gnn.gamer.com.tw/detail.php?sn=267547
《鋼彈創壞者 4》將於 2024 年 8 月 29 日登場！同步公開最新宣傳影片,https://p2.bahamut.com.tw/S/2KU/58/28114d6b821eb48ff465ee3fff1pwfu5.PNG,//gnn.gamer.com.tw/detail.php?sn=267531
休閒冒險遊戲《小貓咪大城市》今日發售 整座城市都是喵的遊樂場！,https://p2.bahamut.com.tw/S/2KU/30/4d4929fcc10b29c07e78a87ec41pwkm5.JPG,//gnn.gamer.com.tw/detail.php?sn=267563
BANDAI 發表《七龍珠》最新卡片遊戲機台《Super Divers》 強化沉浸感與臨場感,https://p2.bahamut.com.tw/S/2KU/77/663fc1879b066543d144222b751pwop5.WEBP,//gnn.gamer.com.tw/detail.php?sn=267561
努力逃離沉船 解謎動作遊戲《贈禮：沉船求生》今日推出,https://p2.bahamut.com.tw/S/2KU/67/d9f54af0db8f1a1c5c88cd77951pwof5.PNG,//gnn.gamer.com.tw/detail.php?sn=267560
KLab 宣布將於全球推出《死神 BLEACH》的全新混合型休閒遊戲,https://p2.bahamut.com.tw/S/2KU/84/4a562ce44b6de4d84d783e57041pwm45.PNG,//gnn.gamer.com.tw/detail.php?sn=267549
