season,title,subTitle,typeOf,label,date,time,day,poster,studio,director
202404,为美好的世界献上祝福第3期,この素晴らしい世界に祝福を！第3期,小说改编动画,转生/奇幻/冒险/喜剧/无厘头,4/10,周三深夜,3,https://i0.hdslb.com/bfs/new_dyn/967c411d153351175003502cdf200131512995925.jpg,Drive,金崎贵臣/安部祐二郎
202404,关于我转生变成史莱姆这档事第3期,転生したらスライムだった件第3期,小说改编动画,转生/奇幻冒险/群像/傲天,4/5,周五深夜,5,https://i0.hdslb.com/bfs/new_dyn/d3f680b43c412bbe2bacd026afb68373512995925.jpg,8bit,中山敦史
202404,无职转生第2期Part.2,無職転生～異世界行ったら本気だす～第2期,小说改编动画,转生/奇幻冒险,4/7,周日深夜,0,https://i0.hdslb.com/bfs/new_dyn/72e7f09476dbed571e34d48cf9a2190c512995925.jpg,Studio Bind,涩谷亮介
202404,魔王学院的不适合者第2期Part.2,魔王学院の不適合者Ⅱ,小说改编动画,转世/傲天/校园,4/12,周五晚间,5,http://i0.hdslb.com/bfs/new_dyn/d99761cb99cb7af69a34ac240e3e208f512995925.jpg,SILVER LINK.,大沼心/田村正文
202404,新狼与香辛料,狼と香辛料merchantmeetsthewisewolf,小说改编动画,重制/行商/公路,4/1,周一深夜,1,http://i0.hdslb.com/bfs/new_dyn/d8840781422558a84ea3f7d27934c37e512995925.jpg,Passione,高桥丈夫/三瓶圣
202404,无名记忆,UnnamedMemory,小说改编动画,奇幻/冒险/恋爱,4/9,周二深夜,2,https://i0.hdslb.com/bfs/new_dyn/4583de7d206cdf50bcf97cb25946e094512995925.jpg,ENGI,三浦和也
202404,乌鸦不择主,烏は主を選ばない,小说改编动画,和风奇幻/架空,4/6,周六深夜,6,http://i0.hdslb.com/bfs/new_dyn/a85ec50a77b66a84fb0225b8541240b0512995925.jpg,PIERROT,京极义昭
202404,身为魔王的我娶了奴隶精灵为妻该如何表白我的爱,魔王の俺が奴隷エルフを嫁にしたんだが、どう愛でればいい？,小说改编动画,奇幻/反差/恋爱喜剧,4/4,周四深夜,4,https://i0.hdslb.com/bfs/new_dyn/c15197cce46d8a085fb68f60fb58dd36512995925.jpg,Brain's Base,石踊宏/大泽美奈
202404,被称为废物的原英雄被家里流放后随心所欲地活下去,出来損ないと呼ばれた元英雄は、実家から追放されたので好き勝手に生きることにした,小说改编动画,转世/奇幻冒险/傲天/后宫,4/1,周一深夜,1,http://i0.hdslb.com/bfs/new_dyn/c99233ed2fb36f12675e99c7ba6107e4512995925.jpg,,古贺一臣
202404,转生七王子的魔法全解,転生したら第七王子だったので、気ままに魔術を極めます,小说改编动画,转世/奇幻/成长/涩涩/正太/傲天,4/1,周一深夜,1,https://i0.hdslb.com/bfs/new_dyn/29f0123f6acd1b299de5f95cc8cfef3a512995925.jpg,Tsumugi秋田动画Lab,玉村仁/阿部雄一/锦织成
202404,转生贵族靠着鉴定技能一飞冲天,転生貴族、鑑定スキルで成り上がる,小说改编动画,转生/奇幻/异能,4/7,周日深夜,0,https://i0.hdslb.com/bfs/new_dyn/928806876865f84967d4e8548253544a512995925.jpg,Studio MOTHER,加户誉夫
202404,怪物转生,Re:Monster,小说改编动画,转生/异能/成长,4/1,周一深夜,1,http://i0.hdslb.com/bfs/new_dyn/e1fa93045b20c675eb40b94f7fb892f7512995925.jpg,Studio DEEN,稻垣隆行
202404,从Lv2开始无敌的原勇者候补悠闲的异世界生活,Lv2からチートだった元勇者候補のまったり異世界ライフ,小说改编动画,穿越/奇幻/傲天,4/8,周一深夜,1,http://i0.hdslb.com/bfs/new_dyn/00dfa3f7f5dc25411c2b8178c9a89182512995925.jpg,J.C.STAFF,岩崎良明
202404,THENEWGATE,THENEWGATE,小说改编动画,穿越/网游/冒险,4/13,周六深夜,6,http://i0.hdslb.com/bfs/new_dyn/6b8b9d9bc47930d5067a96dd7f33c8f1512995925.jpg,,中津环/加藤显
202404,渴求游戏之神,神は遊戯に飢えている。,小说改编动画,穿越/奇幻/神魔/智斗/冒险,4/1,周一晚间,1,http://i0.hdslb.com/bfs/new_dyn/82def2b40688f4262a4a3c15d2234d6c512995925.jpg,LIDENFILMS,白石达也/小林亮
202404,怪人的沙拉碗,変人のサラダボウル,小说改编动画,逆穿越/侦探/群像/喜剧,4/4,周四深夜,4,https://i0.hdslb.com/bfs/new_dyn/5c5ff31ab49e45adbbd10807287605b2512995925.jpg,,佐藤昌文
202404,声优广播的台前幕后,声優ラジオのウラオモテ,小说改编动画,声优/反差/贴贴,4/10,周三晚间,3,http://i0.hdslb.com/bfs/new_dyn/fe7fb9c5f7a86fcf99f77d3893aee1b9512995925.jpg,CONNECT,橘秀树/泷本祥子
202404,蔚蓝档案,ブルーアーカイブTheAnimation,游戏改编动画,架空/枪战/学园都市,4/7,周日深夜,0,https://i0.hdslb.com/bfs/new_dyn/733a69c64fcbf07c76290990979e6438512995925.jpg,,山岸大悟/牧俊治/萩原弘光
202404,偶像大师闪耀色彩,THEiDOLM@STERSHINYCOLORS,游戏改编动画,偶像/音乐/成长,4/5,周五深夜,5,https://i0.hdslb.com/bfs/new_dyn/2e1f7731c6202896ae48093016ee5482512995925.jpg,Polygon Pictures,万球/岩田健志/岩田健志/菅井进
202404,影之诗FArk篇,シャドウバースFアーク編,游戏改编动画,TCG/竞技,4/13,周六早间,6,https://i0.hdslb.com/bfs/new_dyn/d4fadef05bf3d769c7a22f5776ef1524512995925.jpg,ZEXCS,川口敬一郎/林直孝
202404,雀魂杠,じゃんたまカン！！,游戏改编动画,麻将/日常/Q版,,播出时间不明,未知,https://i0.hdslb.com/bfs/new_dyn/eb06c285bb603ca699f2f5835590a3b7512995925.jpg,Alke,古贺一臣
202404,刀剑乱舞廻-虚传火染本能寺-,刀剣乱舞廻-虚伝燃ゆる本能寺-,游戏衍生舞台剧<br>改编动画,拟人/历史/动作/时空穿越,4/2,周二深夜,2,http://i0.hdslb.com/bfs/new_dyn/20b5be1ad463198bbc4c409b2466a235512995925.jpg,domerica,市川量也
202404,格林童话变奏曲,グリム組曲,童话衍生动画,黑暗童话/新编,4/17,网络配信,3,http://i0.hdslb.com/bfs/new_dyn/ced9cb9b5b606da4c585c5045e78cc27512995925.jpg,WIT Studio,金森阳子/赤松康裕
202404,小哥斯拉的逆袭第2期,ちびゴジラの逆襲続編,特摄衍生动画,Q版怪兽/外传,4/3,周三早间,3,http://i0.hdslb.com/bfs/new_dyn/7ff5538e8d2d5eafe4d7b82db9cee4d8512995925.jpg,Pie in the sky,新海岳人
202404,涩谷♥八公,SHIBUYA♥HACHI,狗狗形象<br>衍生动画,都市/宠物/日常,4/6,周六早间,6,http://i0.hdslb.com/bfs/new_dyn/1b8d4303e5c17f0243a78ba620d4bee4512995925.jpg,日本Animation,
202404,Kumarba,クマーバ,儿童频道形象<br>衍生动画,拟人/网络世界/动作,4/6,周六早间,6,https://i0.hdslb.com/bfs/new_dyn/23cdac4d5d287734053c3ffae55a601c512995925.jpg,CreativehousePocket,樋渡升一郎/关根知佳
202404,我的英雄学院第7期,ヒーローアカデミア第7期,漫画改编动画,异能/动作/热血,5/4,周六下午,6,https://i0.hdslb.com/bfs/new_dyn/bcaa041146995992607992cd4e9ee613512995925.jpg,BONES,长崎健司/中山奈绪美
